Date,Open,High,Low,Close,Volume
2024-01-24,4298.1743,4423.8626,4254.8307,4407.2362,
2024-01-25,4412.4191,4614.0017,4390.8316,4593.0883,
2024-01-26,4574.9903,4674.7748,4514.3603,4626.8946,
2024-01-29,4616.8926,4757.1889,4556.8420,4623.5107,
2024-01-30,4597.4975,4685.4579,4548.6017,4581.2410,
2024-01-31,4556.2734,4646.7822,4503.7782,4561.9825,
2024-02-01,4525.1826,4619.2814,4474.3843,4542.6136,
2024-02-02,4542.1604,4626.7947,4428.4293,4525.0896,
2024-02-05,4507.0234,4655.2616,4451.3233,4591.1757,
2024-02-06,4565.0506,4741.8179,4519.5075,4687.5618,
2024-02-07,4674.0755,4738.9821,4571.4391,4694.6448,
2024-02-08,4692.2749,4770.5582,4605.8293,4700.6701,
2024-02-19,4729.1426,4872.3133,4670.7058,4852.5587,
2024-02-20,4846.5763,4936.7825,4798.6747,4886.4372,
2024-02-21,4851.7670,5005.8984,4817.8723,4911.2225,
2024-02-22,4917.1042,5023.1514,4877.7790,4994.6829,
2024-02-23,5012.8807,5073.3130,4942.1122,4993.9859,
2024-02-26,4970.4385,5020.9077,4861.7169,4891.2486,
2024-02-27,4875.3020,4997.2162,4845.6509,4962.8344,
2024-02-28,4959.6315,5024.4185,4867.6113,4905.0667,
2024-02-29,4889.5533,4994.6784,4871.8308,4976.3767,
2024-03-01,4970.9910,5064.8866,4934.9284,5025.4840,
2024-03-04,5043.4684,5138.4063,4987.4952,5093.9486,
2024-03-05,5073.7607,5221.9793,5041.6355,5160.6503,
2024-03-06,5143.9969,5207.6358,5069.1560,5110.2903,
